from,to,distance_km,time_minute
Branchsto BSD,Living World Alam Sutera,12.4,25
Branchsto BSD,The Flavor Bliss - Broadway Alam Sutera,11.4,24
Branchsto BSD,IKEA Alam Sutera,15.1,30
Branchsto BSD,Scientia Square Park,5.6,10
Branchsto BSD,Branchsto BSD,0,0
Branchsto BSD,Supermal Karawaci,10.8,24
Branchsto BSD,Serpong Natura City,15.3,34
Supermal Karawaci,The Breeze BSD City,16.1,30
Supermal Karawaci,QBIG BSD City,11.9,28
Supermal Karawaci,AEON Mall BSD,13.4,30
Supermal Karawaci,TerasKota,13.4,24
Supermal Karawaci,Living World Alam Sutera,9.1,16
Supermal Karawaci,The Flavor Bliss - Broadway Alam Sutera,7.5,15
Supermal Karawaci,IKEA Alam Sutera,7.9,16
Supermal Karawaci,Scientia Square Park,6.1,15
Supermal Karawaci,Branchsto BSD,11,23
Supermal Karawaci,Supermal Karawaci,0,0
Supermal Karawaci,Serpong Natura City,29.8,39
